,Group,Point,mean_rank,measures
270,ST56,L0610,19.5,2
271,ST56,L0611,17.5,2
272,ST56,L0612,72.0,2
273,ST56,L0613,85.5,2
274,ST56,L0615,73.5,2
275,ST56,L0616,47.5,2
276,ST56,R064,50.0,2
277,ST56,R067,48.5,2
278,ST56,R068,68.0,2
279,ST100,L0411,86.0,2
280,ST100,L0412,89.5,2
281,ST100,L0607,77.5,2
282,ST100,L0608,76.5,2
283,ST100,L0609,80.0,2
284,ST100,L0612,101.0,2
285,ST100,L0613,151.5,2
286,ST100,L0615,113.5,2
287,ST100,L0616,75.0,2
288,ST101,L0402,57.0,2
289,ST101,L0404,99.0,2
290,ST101,L0411,43.0,2
291,ST101,L0412,91.5,2
292,ST101,L0606,32.5,2
293,ST101,L0608,50.5,2
294,ST101,L0609,43.5,2
295,ST101,L0612,124.0,2
296,ST101,L0613,153.5,2
297,ST101,L0615,118.5,2
298,ST101,L0616,85.0,2
299,ST038,L1026,77.0,2
300,ST038,L1044,68.0,2
301,ST038,L1046,42.5,2
302,ST038,L1062,67.5,2
303,ST038,L1102,78.0,2
304,ST038,L1103,102.5,2
305,ST038,L1104,113.5,2
306,ST038,L1105,99.0,2
307,ST038,L1119,52.5,2
308,ST042,L1026,23.5,2
309,ST042,L1027,66.0,2
310,ST042,L1046,45.0,2
311,ST042,L1062,49.5,2
312,ST042,L1102,101.0,2
313,ST042,L1103,121.5,2
314,ST042,L1104,95.0,2
315,ST042,L1105,63.5,2
316,ST042,L1119,53.5,2
317,ST063,L1026,17.5,2
318,ST063,L1027,16.0,2
319,ST063,L1102,30.0,2
320,ST063,L1103,36.5,2
321,ST70,F1201,21.5,2
322,ST70,F1202,71.0,2
323,ST70,L1026,159.0,2
324,ST70,L1027,117.5,2
325,ST70,L1044,60.5,2
326,ST70,L1046,99.5,2
327,ST70,L1102,44.5,2
328,ST70,L1103,40.0,2
329,ST70,L1104,118.5,2
330,ST70,L1105,76.5,2
331,ST71,F1201,41.5,2
332,ST71,F1202,39.0,2
333,ST71,L1102,45.5,2
334,ST71,L1103,173.0,2
335,ST71,L1119,91.5,2
336,ST71,R103,56.0,2
337,ST71,R1114,81.5,2
338,ST87,L0729,16.0,2
339,ST87,L0730,56.5,2
340,ST87,L0742,19.5,2
341,ST87,L0820,21.0,2
342,ST88,L0738,41.0,2
343,ST88,L0820,30.0,2
344,ST046,L0729,29.5,2
345,ST046,L0730,35.0,2
346,ST046,L0742,70.5,2
347,ST046,L0808,65.5,2
348,ST046,L0820,13.0,2
349,ST046,L0821,10.0,2
350,ST050,L0733,30.5,2
351,ST050,L0738,38.0,2
352,ST050,L0741,25.0,2
353,ST050,L0820,26.5,2
354,ST050,L0821,14.5,2
355,ST050,L0828,22.5,2
356,ST011,F1001,26.0,2
357,ST011,F1104,16.5,2
358,ST011,R098,30.5,2
359,ST011,R103,38.0,2
