,Group,Point,mean_rank,measures
857,ST033,L0722,73.5,2
858,ST75,F0101,54.5,2
859,ST75,F0102,48.0,2
860,ST75,R107,69.5,2
861,ST75,R108,49.5,2
862,ST75,R1114,34.0,2
863,ST073,L0101,49.5,2
864,ST073,L1229,18.0,2
865,ST074,L1229,82.5,2
866,ST054,L0828,38.0,2
867,ST055,L0828,53.0,2
868,ST060,L1041,52.5,2
869,ST068,L1298,60.5,2
846,ST032,L0610,39.0,2
818,ST062,L1062,20.5,2
845,ST032,L0609,18.5,2
843,ST032,L0606,35.5,2
820,ST72,F1201,83.0,2
821,ST72,F1202,82.0,2
822,ST72,R098,46.0,2
823,ST83,L0402,70.0,2
824,ST83,L0404,48.0,2
825,ST83,L0412,41.5,2
826,ST83,R046,52.5,2
827,ST84,L0402,82.5,2
828,ST84,L0412,43.5,2
829,ST84,R046,42.5,2
830,ST86,F0704,49.5,2
831,ST86,F0705,46.5,2
832,ST86,L0404,37.0,2
833,ST86,L0412,28.5,2
834,ST86,R046,36.0,2
835,ST86,R048,30.5,2
836,ST031,L0606,19.0,2
837,ST031,L0608,28.0,2
838,ST031,L0609,31.5,2
839,ST031,L0610,19.0,2
840,ST031,L0611,20.5,2
841,ST031,L0720,21.5,2
842,ST031,L0722,21.0,2
844,ST032,L0608,35.5,2
764,ST50,L1208,136.0,2
763,ST50,L1207,128.5,2
762,ST50,L1206,116.5,2
683,ST78,R029,26.0,2
684,ST79,F0402,20.5,2
685,ST79,L0209,35.0,2
686,ST79,L0210,36.0,2
687,ST79,L0302,75.0,2
688,ST79,L0304,80.5,2
689,ST79,L0305,51.0,2
690,ST79,R028,52.5,2
691,ST79,R033,45.5,2
692,ST79,R035,27.5,2
693,ST80,F0402,14.5,2
694,ST80,L0209,24.5,2
695,ST80,L0210,26.5,2
696,ST80,L0302,63.5,2
697,ST80,R020,53.0,2
698,ST80,R027,57.5,2
699,ST80,R028,47.0,2
700,ST80,R033,38.5,2
701,ST80,R035,10.5,2
702,ST80,R046,25.0,2
703,ST81,F0402,29.5,2
704,ST81,L0209,33.5,2
705,ST81,L0210,31.0,2
682,ST78,R028,44.5,2
706,ST81,L0304,29.0,2
681,ST78,R027,39.0,2
679,ST78,R020,36.5,2
656,ST007,R046,111.0,2
657,ST007,R048,98.0,2
658,ST007,R052,101.0,2
659,ST024,F0302,26.5,2
660,ST024,F0402,46.5,2
661,ST024,F0503,34.0,2
662,ST024,F0505,14.5,2
663,ST024,F0604,30.5,2
664,ST024,F0605,15.0,2
665,ST024,R024,21.0,2
666,ST024,R028,54.5,2
667,ST024,R030,46.5,2
668,ST024,R033,28.0,2
669,ST024,R035,53.5,2
670,ST024,R038,39.5,2
671,ST024,R045,13.0,2
672,ST024,R046,20.0,2
673,ST024,R048,16.5,2
674,ST024,R052,18.0,2
675,ST78,F0302,30.0,2
676,ST78,L0110,27.5,2
677,ST78,L0111,32.0,2
678,ST78,L1233,56.5,2
680,ST78,R024,32.0,2
707,ST81,L0305,24.5,2
708,ST81,R028,56.5,2
709,ST81,R033,40.5,2
739,ST68,L0901,56.0,2
740,ST68,L0902,93.0,2
741,ST68,L0906,25.5,2
742,ST68,L1063,60.5,2
743,ST68,R079,37.5,2
744,ST68,R098,21.0,2
745,ST68,R103,24.0,2
746,ST69,F1001,41.5,2
747,ST69,L0823,68.0,2
748,ST69,L0824,97.0,2
749,ST69,L0826,87.5,2
750,ST69,L0835,60.0,2
751,ST69,L0901,70.5,2
752,ST69,L0902,90.0,2
753,ST69,L0904,103.5,2
754,ST69,L0905,80.0,2
755,ST69,L0906,64.5,2
756,ST69,L0907,88.0,2
757,ST69,L1063,60.0,2
758,ST69,R098,47.0,2
759,ST69,R103,49.0,2
760,ST91,L0729,42.0,2
761,ST91,L0742,35.0,2
738,ST68,L0824,76.0,2
737,ST68,L0823,43.0,2
736,ST68,F1001,64.0,2
735,ST68,F0904,70.5,2
710,ST81,R035,20.0,2
711,ST81,R046,30.5,2
712,ST62,F0903,75.0,2
713,ST62,L0742,54.5,2
714,ST62,R067,25.0,2
715,ST62,R068,29.0,2
716,ST62,R078,100.5,2
717,ST62,R079,32.0,2
718,ST62,R083,76.5,2
719,ST052,L0821,48.0,2
720,ST052,L0823,69.0,2
654,ST007,R038,93.0,2
721,ST052,L0824,98.0,2
723,ST052,L0901,89.5,2
724,ST052,L0902,146.0,2
725,ST052,L0904,110.5,2
727,ST67,F0903,30.5,2
728,ST67,F0904,38.0,2
729,ST67,F1001,39.0,2
730,ST67,L0823,37.5,2
731,ST67,L0824,46.5,2
732,ST67,R079,40.5,2
733,ST67,R085,69.5,2
734,ST67,R098,21.0,2
722,ST052,L0825,62.5,2
437,ST005,R028,37.5,2
435,ST005,R020,33.0,2
870,ST069,L1298,21.0,2
140,ST008,R109,43.5,2
141,ST008,R1114,16.5,2
142,ST008,U12F14,42.5,2
143,ST009,F0101,27.5,2
144,ST009,F0104,27.0,2
145,ST009,F1202,48.5,2
146,ST009,R107,53.0,2
147,ST009,R108,28.5,2
148,ST009,R1114,36.5,2
149,ST009,U12F14,33.0,2
150,ST010,F0104,42.5,2
151,ST010,F1104,68.5,2
152,ST010,R098,39.5,2
153,ST010,R103,67.5,2
154,ST010,R104,158.5,2
155,ST010,R107,103.0,2
156,ST010,R108,64.0,2
157,ST010,R1114,23.5,2
158,ST010,U12F14,80.0,2
159,ST034,L0907,77.5,2
160,ST034,L1002,37.5,2
161,ST034,L1004,108.0,2
162,ST034,L1005,104.0,2
139,ST008,R108,31.5,2
163,ST034,L1017,26.0,2
138,ST008,F1202,60.0,2
136,ST008,F0104,130.5,2
112,ST001,F1202,41.0,2
113,ST001,R108,51.0,2
114,ST001,R109,44.5,2
115,ST001,R1114,40.5,2
117,ST002,F0101,35.5,2
118,ST002,F0102,29.5,2
119,ST002,F0104,40.5,2
120,ST002,F0302,36.5,2
121,ST002,R020,12.0,2
122,ST002,R024,26.5,2
123,ST002,R109,44.5,2
124,ST002,R1114,23.5,2
125,ST003,F0101,26.5,2
126,ST003,F0102,28.0,2
127,ST003,F0104,15.0,2
128,ST003,F0302,37.5,2
129,ST003,R020,18.0,2
130,ST003,R024,34.5,2
131,ST003,R027,31.5,2
132,ST003,R029,17.5,2
133,ST003,R109,53.5,2
134,ST008,F0101,53.5,2
135,ST008,F0102,63.5,2
137,ST008,F1201,34.5,2
111,ST001,F1201,32.5,2
164,ST034,L1021,136.0,2
166,ST035,L0907,63.0,2
194,ST057,L0907,68.5,2
195,ST057,L1002,100.0,2
196,ST057,L1004,85.5,2
197,ST057,L1005,74.0,2
198,ST057,L1017,51.0,2
199,ST057,L1021,42.5,2
200,ST057,L1063,83.5,2
201,ST059,L0835,67.0,2
202,ST059,L1002,47.0,2
203,ST059,L1004,54.5,2
204,ST059,L1005,46.0,2
205,ST059,L1021,37.0,2
206,ST059,L1062,66.5,2
207,ST059,L1063,55.5,2
208,ST059,L1104,92.5,2
209,ST059,L1105,62.5,2
210,ST64,L0826,50.5,2
211,ST64,L0835,77.0,2
212,ST64,L0907,39.5,2
213,ST64,L1002,72.5,2
214,ST64,L1004,121.5,2
215,ST64,L1005,89.0,2
216,ST64,L1017,85.0,2
193,ST057,L0906,69.5,2
165,ST034,L1063,67.5,2
192,ST057,L0905,83.5,2
190,ST057,L0902,125.0,2
167,ST035,L1002,15.5,2
168,ST035,L1004,57.5,2
169,ST035,L1005,56.5,2
170,ST035,L1021,19.5,2
171,ST035,L1062,71.5,2
172,ST035,L1063,58.5,2
173,ST036,L1019,144.0,2
174,ST036,L1021,37.0,2
175,ST056,L0835,64.5,2
176,ST056,L0901,54.5,2
177,ST056,L0902,67.5,2
178,ST056,L0904,83.0,2
179,ST056,L0905,46.0,2
180,ST056,L0906,42.0,2
181,ST056,L1002,90.5,2
182,ST056,L1004,78.5,2
183,ST056,L1005,49.0,2
184,ST056,L1021,32.0,2
185,ST056,L1063,35.5,2
186,ST057,L0823,60.0,2
187,ST057,L0826,76.5,2
188,ST057,L0835,43.0,2
189,ST057,L0901,82.5,2
191,ST057,L0904,132.0,2
110,ST001,F0104,54.5,2
109,ST001,F0102,52.5,2
108,ST001,F0101,60.5,2
29,ST57,L0608,68.5,2
30,ST57,L0609,53.0,2
31,ST57,L0610,81.0,2
32,ST57,L0611,70.5,2
33,ST57,L0612,29.0,2
34,ST57,L0613,27.5,2
35,ST57,L0615,31.5,2
36,ST57,L0616,26.5,2
37,ST57,L0703,25.5,2
38,ST57,L0704,25.5,2
39,ST57,L0706,57.5,2
40,ST57,L0707,18.5,2
41,ST57,L0708,21.0,2
42,ST57,L0726,46.5,2
43,ST57,R073,33.0,2
44,ST89,L0729,48.5,2
45,ST89,L0730,73.0,2
46,ST89,L0738,75.5,2
