,Group,Point,m_distance,rank,measures
1186,ST89,L0807,6741.633847973634,68.5,2.0
1187,ST89,L0742,5874.155051551597,51.0,2.0
1188,ST89,L0729,6410.455826996622,48.5,2.0
1189,ST89,L0730,8642.034030840803,73.0,2.0
1190,ST89,L0738,8265.258475656468,75.5,2.0
1191,ST89,L0821,2604.53637025033,48.0,2.0
1192,ST89,L0824,4680.013795328796,49.0,2.0
1194,ST90,L0803,6307.468878869007,58.5,2.0
1195,ST90,L0804,6145.894118729122,69.5,2.0
1196,ST90,L0806,4383.059023673923,86.5,2.0
1197,ST90,L0807,4382.5068422953445,64.0,2.0
1204,ST90,L0820,2785.943008805354,41.0,2.0
1205,ST90,L0821,4461.849224873249,33.5,2.0
1206,ST90,L0738,10322.459195046202,74.0,2.0
1207,ST90,L0742,4237.977376142645,49.0,2.0
1208,ST90,L0729,4938.6265292162725,90.5,2.0
1209,ST90,L0730,7897.539914022465,83.5,2.0
1214,ST50,L1217,1844.6496995592024,76.5,2.0
1216,ST50,L1206,1778.9548334354458,116.5,2.0
1217,ST50,L1207,1634.8146009273917,128.5,2.0
1218,ST50,L1208,1847.9903685709908,136.0,2.0
1226,ST51,L1217,3204.9083271619043,30.5,2.0
1227,ST51,L1206,3580.670946584508,33.0,2.0
1228,ST51,L1207,3504.9546217434354,34.0,2.0
1229,ST51,L1208,3690.710267366093,57.5,2.0
1236,ST52,L1206,5167.97580453126,24.0,2.0
1237,ST52,L1207,5127.575992480602,37.0,2.0
1238,ST52,L1208,5558.402900453384,33.0,2.0
1243,ST52,L1205,6240.595850983209,53.0,2.0
1260,ST53,L1044,9145.337721509453,68.5,2.0
1266,ST53,L1204,3280.6099849258735,118.5,2.0
1267,ST53,L1205,3097.55078347109,63.0,2.0
1269,ST54,L0612,1206.334875343684,115.5,2.0
1270,ST54,L0613,1193.1390351607906,114.5,2.0
1271,ST54,L0411,9392.421999730921,31.0,2.0
1272,ST54,L0608,7801.730276321829,37.5,2.0
1273,ST54,L0610,8169.964515221294,35.0,2.0
1274,ST54,L0609,7845.460091710537,50.0,2.0
1276,ST54,R064,3760.655298421319,73.5,2.0
1277,ST54,R067,10967.823371333661,54.0,2.0
1278,ST54,R068,11691.887569925726,56.5,2.0
1279,ST54,R060,9564.303159504007,55.5,2.0
1281,ST54,F0604,4697.821920541484,105.5,2.0
1282,ST54,F0605,4429.970986041995,104.0,2.0
1284,ST54,F0702,5481.859186800232,55.0,2.0
1285,ST55,L0616,2295.0741581644697,12.0,2.0
1286,ST55,L0615,2337.572198075082,40.0,2.0
1287,ST55,L0612,3232.828581395554,35.0,2.0
1288,ST55,L0613,3163.2994108109096,37.0,2.0
1289,ST55,L0606,5245.2871277384575,26.5,2.0
1290,ST55,L0607,5372.366097224419,19.5,2.0
1291,ST55,L0608,6453.05200650608,21.5,2.0
1292,ST55,L0609,6504.6428263701155,10.5,2.0
1293,ST55,L0611,6879.701918177637,26.5,2.0
1294,ST55,L0610,6856.6906859280125,23.5,2.0
1295,ST55,L0704,10272.992058409822,25.5,2.0
1296,ST55,R060,12169.121386222827,44.0,2.0
1298,ST55,L0411,7984.634117110589,34.5,2.0
1299,ST56,L0612,1240.4627967625108,72.0,2.0
1300,ST56,L0613,1340.2417779565549,85.5,2.0
1301,ST56,L0615,2046.1758175453294,73.5,2.0
1302,ST56,L0616,1989.3831106628897,47.5,2.0
1303,ST56,L0606,7236.574669627883,8.5,2.0
1304,ST56,L0607,7326.978989653692,38.0,2.0
1305,ST56,L0608,8332.247115789016,22.5,2.0
1306,ST56,L0610,8724.508468953172,19.5,2.0
1307,ST56,L0611,8729.249707093884,17.5,2.0
1308,ST56,L0411,7901.468832797937,32.5,2.0
1309,ST56,R064,5223.589730805092,50.0,2.0
1311,ST56,F0702,6902.354463220663,77.0,2.0
1312,ST56,R067,12383.5849696974,48.5,2.0
1313,ST56,R068,13122.060969833601,68.0,2.0
1314,ST56,F0904,24715.512175605607,47.0,2.0
1316,ST56,F0903,23479.711941248865,35.5,2.0
1317,ST57,L0707,8040.579773806271,18.5,2.0
1318,ST57,L0706,8076.032355204311,57.5,2.0
1319,ST57,L0704,7576.8963609903185,25.5,2.0
1320,ST57,L0703,7514.903365169168,25.5,2.0
1321,ST57,L0616,8492.720482929575,26.5,2.0
1322,ST57,L0615,8496.881958313563,31.5,2.0
1323,ST57,L0612,10506.608078583396,29.0,2.0
1324,ST57,L0613,10340.992232532311,27.5,2.0
1325,ST57,L0606,3412.755309737155,32.5,2.0
1326,ST57,L0607,3618.3281365119365,10.0,2.0
1327,ST57,L0608,2040.428115631045,68.5,2.0
1328,ST57,L0609,2303.737759701615,53.0,2.0
1329,ST57,L0611,1996.171133498742,70.5,2.0
1330,ST57,L0610,1665.700144374742,81.0,2.0
1331,ST57,R073,11673.833102075141,33.0,2.0
1332,ST57,F0802,13366.702277068634,11.0,2.0
1333,ST57,L0708,10115.235697527702,21.0,2.0
1334,ST57,L0726,13190.521602383795,46.5,2.0
